protein_id	protein_name
1	AATF
2	ADAT1
3	AGGF1
4	AKAP1
5	AKAP8L
6	APOBEC3C
7	AQR
8	BCCIP
9	BCLAF1
10	BUD13
11	CDC40
12	CPSF6
13	CSTF2
14	CSTF2T
15	DDX1
16	DDX24
17	DDX3X
18	DDX43
19	DDX52
20	DDX55
21	DDX59
22	DDX6
23	DGCR8
24	DHX30
25	DKC1
26	DROSHA
27	EFTUD2
28	EIF3D
29	EIF3H
30	EIF4E
31	EIF4G2
32	ELAC2
33	ELAVL1
34	EWSR1
35	EXOSC10
36	EXOSC5
37	FAM120A
38	FASTKD2
39	FKBP4
40	FMR1
41	FTO
42	FUBP3
43	FUS
44	FXR1
45	FXR2
46	G3BP1
47	GARS
48	GEMIN5
49	GPKOW
50	GRSF1
51	GRWD1
52	GTF2F1
53	HNRNPC
54	HNRNPK
55	HNRNPL
56	HNRNPM
57	IGF2BP1
58	IGF2BP2
59	IGF2BP3
60	ILF3
61	KHDRBS1
62	KHSRP
63	LIN28B
64	LSM11
65	MATR3
66	MBNL1
67	METAP2
68	MORC2
69	MTPAP
70	NKRF
71	NOLC1
72	NONO
73	PABPC4
74	PABPN1
75	PCBP1
76	PCBP2
77	PHF6
78	PPIG
79	PPIL4
80	PRPF4
81	PRPF8
82	PTBP1
83	PUM1
84	PUM2
85	QKI
86	RBFOX2
87	RBM15
88	RBM22
89	RBM5
90	RNF187
91	RPS3
92	RYBP
93	SAFB
94	SAFB2
95	SF3A3
96	SF3B4
97	SFPQ
98	SLTM
99	SMNDC1
100	SND1
101	SRSF1
102	SRSF7
103	STAU2
104	SUB1
105	SUGP2
106	TAF15
107	TARDBP
108	TIA1
109	TIAL1
110	TRA2A
111	U2AF1
112	U2AF2
113	UCHL5
114	UPF1
115	XPO5
116	XRCC6
117	XRN2
118	YBX3
119	YWHAG
120	ZC3H11A
121	ZNF622
122	ZNF800
